"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000197580.7",3535.66282213911,5.1583186195763,0.153831030422606,33.5323673345054,1.62728577047207e-246,3.88400567696274e-242,"BCO2"
"ENSG00000185585.15",1347.19600401025,5.80845869137446,0.184936699831351,31.407820603868,1.58236899408845e-216,1.88839915754516e-212,"OLFML2A"
"ENSG00000099994.10",4433.5036585238,7.58140701975092,0.250912339237625,30.2153614397218,1.48847332764851e-200,1.18422937947715e-196,"SUSD2"
"ENSG00000179388.8",7027.99222306704,3.76758538554464,0.133292760465743,28.2654914819093,9.18242389045042e-176,5.47915233543176e-172,"EGR3"
"ENSG00000006210.6",8217.51756894395,11.6456057581728,0.412916299084038,28.2033084768172,5.32601257860402e-175,2.54242536452242e-171,"CX3CL1"
"ENSG00000182985.12",2382.58739702377,4.23155862733857,0.159055895110451,26.6042237818354,6.06566233465621e-156,2.41292047672624e-152,"CADM1"
"ENSG00000113083.8",5565.0480051523,6.15431477558131,0.237132288664345,25.9530863985064,1.67813976147587e-148,5.72197711812945e-145,"LOX"
"ENSG00000159784.13",918.743405548942,4.22433020704997,0.164391632801068,25.6967470610982,1.27095583132554e-145,3.79189672275975e-142,"FAM131B"
"ENSG00000168309.12",1089.94522084335,7.28831744433625,0.285062897307779,25.5674011355716,3.51703924608854e-144,9.32718808062681e-141,"FAM107A"
"ENSG00000242265.1",52881.7367975255,4.34845080442604,0.171789895093892,25.3126110942054,2.32032936155629e-141,5.53816212016256e-138,"PEG10"
"ENSG00000182492.11",2859.98218868423,6.7624199097453,0.267751588665911,25.256320395481,9.6524210626033e-141,2.09439987202014e-137,"BGN"
"ENSG00000182326.10",50515.016766801,3.8351972485714,0.155235599303049,24.7056555699209,9.29822711054251e-135,1.84941737228691e-131,"C1S"
"ENSG00000162510.5",715.515252489298,4.0506054638077,0.165244400978969,24.5128151986416,1.07845884647041e-132,1.98005044211966e-129,"MATN1"
"ENSG00000147576.11",781.320595586237,4.2090051963801,0.172525259631283,24.3964576861122,1.86483191882857e-131,3.17927201704288e-128,"ADHFE1"
"ENSG00000170558.4",4582.12766171729,3.1820354975407,0.135010163658669,23.5688589015081,8.04380029827653e-123,1.27992950346176e-119,"CDH2"
"ENSG00000100558.4",15278.0605657312,-3.09896386707494,0.136707042427121,-22.66864831581,9.13562429737487e-114,1.3628067545609e-110,"PLEK2"
"ENSG00000186642.11",672.05014483523,-4.50371991107147,0.199886426782059,-22.5313943701739,2.04419299486902e-112,2.87004696479611e-109,"PDE2A"
"ENSG00000139364.6",1684.16739598492,3.17954875042501,0.14125688860021,22.5089819118406,3.38965177979252e-112,4.49467826000488e-109,"TMEM132B"
